node,ClusteringCoefficient
0,0.06944444444444445
6420,0.00917153183208229
2941,0
3051,0.01261571229622348
5511,0.007236379808761397
1020,0.007998068876729965
4726,0.06600320292839167
5968,0.007040293594915444
5543,0.006895034654537578
4089,0.03333333333333333
6251,0.19117647058823528
180,0.05728451563691838
1712,0.06327006327006326
2287,0.1
3552,0.04143475572047001
4395,0.0352549889135255
3920,0.034380864912350755
6148,0.01492155960958659
771,0.008038435150261376
5208,0.019429552542135322
790,0.0457002457002457
4069,0.012436171965079889
4522,0.044081632653061226
6203,0.08801580333625987
4496,0.041353383458646614
1082,0.05162382312493388
5175,0.05071998859424009
3274,0.08888888888888889
2173,0.12867647058823528
2560,0.007373186487345124
1465,0.0545790934320074
3623,0.024300441826215022
2831,0.12727272727272726
1115,0.014410337939749704
2944,0.2
4716,0.02060788700668158
4463,0.05695317959468903
77,0.008777635323180837
2,0.12916666666666668
5079,0.12331969608416131
2842,0.12921140318400592
475,0.03557312252964427
5911,0.08933320200925834
6454,0.14682539682539683
1041,0.05879917184265011
2856,0.1196808510638298
6040,0.10278627251104315
4059,0.06985294117647059
813,0.09307838179519595
479,0.03241277945385627
609,0.07282282282282282
6528,0.11758241758241758
2807,0.09090909090909091
1721,0.1106783511846803
1992,0.12976675305442428
3,0
412,0.04524020041261421
45,0.13010752688172042
2367,0.00832485660196095
996,0.05868673050615595
2161,0.00725341141851542
4421,0.028236914600550965
4445,0.11692307692307692
6101,0.03650750918216257
3356,0.03893710271964706
3905,0.03812626308328055
3138,0.01366181410974244
2119,0.06381672177609825
6442,0.07376737102608033
327,0.06693262411347518
3550,0.013417938880094443
2650,0.010549181951565087
3629,0.06589147286821706
4239,0.08083935328517372
3857,0.0116289677191964
2907,0.013223830734966592
5383,0.025396825396825397
5571,0.12441314553990611
1751,0.013103693813974188
3754,0.04829417926081101
3087,0.027938250974775206
4047,0.02559971356963838
4717,0.006805309656563521
5,0
3582,0.11515151515151516
514,0.031578947368421054
4660,0.07692307692307693
183,0.14957390537760798
6271,0.02129230984633694
5827,0.04583333333333333
3523,0.13225371120107962
257,0.0754985754985755
6310,0.06825396825396825
5794,0.03832442067736185
3476,0.025661637397971802
5710,0
471,0.050793650793650794
3312,0.1125
5069,0.1858974358974359
1133,0.0585612968591692
6090,0.15147783251231528
4811,0.08333333333333333
3776,0.20588235294117646
663,0.073109243697479
6,0.35
1482,0.058823529411764705
1284,0.01938087843949161
4451,0.04008367572841035
7,0.17424242424242425
2228,0.0923728813559322
3350,0.12470978441127695
6403,0.02826112140871177
768,0.11058823529411765
1025,0.00800424445782787
4615,0.09473684210526316
64,0.13591135232926277
1485,0.2
1240,0.04019393181107288
2374,0.028943379254052073
8,0.031578947368421054
4018,0.06596035543403965
612,0.01449641530621059
5908,0.04521276595744681
2825,0.07312252964426877
1253,0.04018169112508735
5207,0.1895424836601307
5756,0.10606060606060606
5530,0.07692307692307693
1195,0.03636363636363636
2012,0.0769656699889258
3551,0.08055152394775036
2238,0.05413105413105413
1155,0.019792692650438534
4918,0.02996845425867508
1100,0.012334297826525805
179,0.07692307692307693
4214,0.046464405160057336
4813,0.12171717171717172
2257,0.031293601754036275
9,0.14015151515151514
3253,0.1436842105263158
2568,0.09689922480620156
766,0.09213483146067415
4953,0.1627027027027027
1573,0.13824722271204373
1056,0.14166666666666666
3995,0.0835511575802838
3329,0.038461538461538464
1276,0.1813186813186813
877,0.16339869281045752
1969,0.10531135531135531
3952,0.12505175983436853
5582,0.08857852265673495
4663,0.1334730957372467
5384,0.07910014513788098
5130,0.10348200312989045
287,0.06659619450317125
5385,0.1692268305171531
6084,0.020939943141435678
3313,0.023809523809523808
1127,0.1573439878234399
6056,0.1
6466,0.08119505820860062
4329,0.05540780141843971
1320,0.2573099415204678
2108,0.04252873563218391
6281,0.08950154829687344
10,0.1865530303030303
3510,0.04940711462450593
142,0.044724618447246185
1890,0.02056510467725421
398,0.09200603318250378
5516,0.020365977634700102
4453,0.02107540362035225
5554,0.01378839718062333
5094,0.021883289124668436
938,0.02905326615476007
2799,0.017561115355233
2459,0.027835618263896987
361,0.26143790849673204
3959,0.047058823529411764
2712,0.02610153256704981
188,0.061393489434608796
3046,0.21052631578947367
1808,0.03563941299790356
3459,0.009955910859437528
98,0.06527682843472317
1616,0.029120473022912048
4719,0.027728645383951683
577,0.10384615384615385
586,0.05798789007918025
1875,0.07692307692307693
4443,0.05238095238095238
998,0.06730123180291153
1917,0.14285714285714285
399,0.041353383458646614
2448,0.07352121646365735
5578,0.07407407407407407
6165,0.042459634910947126
4724,0.07246376811594203
6108,0.09398907103825137
3472,0.035355820649938294
3388,0.030176116838487973
